ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
113	\"false\"	false	true	true	     yes	124	8	40	672	1	6	30	39	21	77	0	<S:8> = <init>{71} -> [113]<S:8>.isEmpty(){124}
115	\"false\"	false	true	true	     yes	2949	4	40	25	1	27	32	39	40	86	0	<S:4> = <init>{2867} -> [115]<S:4>.equals(\"C\"){2949}
117	\"true\"	false	true	true	     yes	648	7	40	30	25	45	727	15	25	400	0	<S:7> = <init>{85} -> [117]<S:7>.contains(\"A\"){648}
118	\"false\"	false	true	true	     yes	154	5	40	24	1	5	7	39	21	56	0	<S:5> = <init>{83} -> [118]<S:5>.isEmpty(){154}
120	\"false\"	false	true	true	     yes	126	6	40	26	1	10	13	39	20	58	0	<S:6> = <init>{71} -> [120]<S:6>.equals(\"\"){126}
121	\"false\"	false	false	true	     yes	640	24	27	19	0	2	6	27	19	67	0	<S:6> = <init>{71} -> [24]<S:6>.delete(3, 3){504} -> [121]<S:24>.isEmpty(){640}
123	\"false\"	false	false	true	     yes	681	17	40	381	0	7	5	40	8207	101	0	<S:8> = <init>{71} -> [17]<S:8>.concat(\"B\"){422} -> [123]<S:17>.equals(\"A\"){681}
125	\"false\"	false	true	true	     yes	898	33	9	16	1	29	703	8	29	428	0	<S:6> = <init>{71} -> [33]<S:6>.delete(2, 3){426} -> [125]<S:33>.contains(\"CB\"){898}
126	\"false\"	false	true	true	     yes	340	28	1093	40	1	5	4	1092	33	54	0	<S:5> = <init>{83} -> [28]<S:5>.concat(<CS:6>){210} -> [126]<S:28>.isEmpty(){340}
128	\"false\"	false	false	true	     yes	466	38	40	342	0	6	6	40	370	103	0	<S:5> = <init>{83} -> [38]<S:5>.concat(\"B\"){296} -> [128]<S:38>.equals(\"A\"){466}
130	\"true\"	false	true	false	     yes	957	39	15	23	15	23	415	0	7	186	0	<S:5> = <init>{83} -> [39]<S:5>.replace('A', 'B'){456} -> [130]<S:39>.contains(\"\"){957}
131	\"false\"	false	false	true	     yes	473	37	39	20	0	2	3	39	20	54	0	<S:5> = <init>{83} -> [37]<S:5>.delete(1, 1){340} -> [131]<S:37>.isEmpty(){473}
133	\"false\"	false	false	true	     yes	3414	40	27	21	0	7	9	27	20	70	0	<S:4> = <init>{2867} -> [40]<S:4>.delete(3, 3){479} -> [133]<S:40>.equals(\"\"){3414}
135	\"false\"	false	true	true	     yes	795	31	40	337	7	267	811	33	211	414	0	<S:7> = <init>{85} -> [31]<S:7>.concat(\"B\"){316} -> [135]<S:31>.contains(\"BC\"){795}
136	\"false\"	false	false	true	     yes	679	30	27	18	0	2	3	27	17	71	0	<S:7> = <init>{85} -> [30]<S:7>.delete(3, 3){531} -> [136]<S:30>.isEmpty(){679}
138	\"false\"	false	false	true	     yes	3422	22	15	29	0	6	6	15	34	80	0	<S:4> = <init>{2867} -> [22]<S:4>.replace('A', 'C'){480} -> [138]<S:22>.equals(\"CA\"){3422}
140	\"true\"	false	true	false	     yes	5327	25	1093	32	1093	37	441	0	7	280	0	<S:4> = <init>{2867} -> [25]<S:4>.concat(<CS:6>){212} -> [140]<S:25>.contains(\"\"){5327}
141	\"false\"	false	true	true	     yes	709	29	15	63	1	5	27	14	27	54	0	<S:5> = <init>{83} -> [29]<S:5>.replace('B', 'A'){577} -> [141]<S:29>.isEmpty(){709}
143	\"false\"	false	true	true	     yes	359	34	1093	38	1	55	38	1092	48	83	0	<S:7> = <init>{85} -> [34]<S:7>.concat(<CS:4>){198} -> [143]<S:34>.equals(\"AC\"){359}
145	\"true\"	false	true	false	     yes	4387	35	15	32	15	27	461	0	6	166	0	<S:7> = <init>{85} -> [35]<S:7>.replace('B', 'A'){3823} -> [145]<S:35>.contains(\"\"){4387}
146	\"false\"	false	true	true	     yes	3208	13	1093	29	1	4	3	1092	24	46	0	<S:4> = <init>{2867} -> [13]<S:4>.concat(<CS:5>){295} -> [146]<S:13>.isEmpty(){3208}
148	\"false\"	false	true	true	     yes	5704	9	15	44	1	8	4	14	16	48	0	<S:4> = <init>{2867} -> [9]<S:4>.replace('A', 'B'){2788} -> [148]<S:9>.equals(\"\"){5704}
150	\"true\"	false	true	true	     yes	1043	41	40	45	25	44	680	15	46	313	0	<S:8> = <init>{71} -> [41]<S:8>.concat(\"C\"){277} -> [150]<S:41>.contains(\"A\"){1043}
151	\"false\"	false	false	true	     yes	3216	44	40	53	0	1	2	40	43	54	0	<S:4> = <init>{2867} -> [44]<S:4>.concat(\"C\"){296} -> [151]<S:44>.isEmpty(){3216}
153	\"false\"	false	false	true	     yes	513	21	40	43	0	6	8	40	64	89	0	<S:7> = <init>{85} -> [21]<S:7>.concat(\"C\"){350} -> [153]<S:21>.equals(\"BB\"){513}
155	\"false\"	false	true	true	     yes	2307	27	9	12	5	16	584	4	488	25984	0	<S:8> = <init>{71} -> [27]<S:8>.delete(2, 3){425} -> [155]<S:27>.contains(\"C\"){2307}
156	\"false\"	false	false	true	     yes	764	16	3	10	0	1	3	3	19	47	0	<S:6> = <init>{71} -> [16]<S:6>.delete(1, 3){452} -> [156]<S:16>.isEmpty(){764}
158	\"false\"	false	true	true	     yes	1554	12	9	48	1	33	6	8	40	241	0	<S:6> = <init>{71} -> [12]<S:6>.delete(2, 3){1343} -> [158]<S:12>.equals(\"AA\"){1554}
160	\"true\"	false	true	false	     yes	3281	43	3	20	3	16	667	0	44	267	0	<S:8> = <init>{71} -> [43]<S:8>.delete(1, 3){329} -> [160]<S:43>.contains(\"\"){3281}
161	\"false\"	false	true	true	     yes	832	14	15	31	1	3	23	14	19	83	0	<S:5> = <init>{83} -> [14]<S:5>.replace('B', 'C'){712} -> [161]<S:14>.isEmpty(){832}
163	\"false\"	false	false	true	     yes	710	32	15	58	0	41	5	15	82	422	0	<S:7> = <init>{85} -> [32]<S:7>.replace('A', 'B'){533} -> [163]<S:32>.equals(\"AC\"){710}
165	\"true\"	false	true	true	     yes	1463	42	15	52	11	271	2922	4	88	1111	0	<S:7> = <init>{85} -> [42]<S:7>.replace('B', 'A'){517} -> [165]<S:42>.contains(\"C\"){1463}
166	\"false\"	false	true	true	     yes	710	18	15	17	1	4	13	14	17	87	0	<S:8> = <init>{71} -> [18]<S:8>.replace('B', 'C'){591} -> [166]<S:18>.isEmpty(){710}
168	\"false\"	false	true	true	     yes	751	26	15	19	1	4	15	14	27	58	0	<S:6> = <init>{71} -> [26]<S:6>.replace('C', 'A'){466} -> [168]<S:26>.equals(\"\"){751}
170	\"false\"	false	true	true	     yes	1445	20	4	31	0	6	772	3	57	543	0	<S:5> = <init>{83} -> [20]<S:5>.delete(0, 2){305} -> [170]<S:20>.contains(\"BC\"){1445}
171	\"false\"	false	false	true	     yes	783	68	15	40	0	1	2	15	35	47	0	<S:7> = <init>{85} -> [42]<S:7>.replace('B', 'A'){517} -> [68]<S:42>.concat(\"B\"){140} -> [171]<S:68>.isEmpty(){783}
173	\"false\"	false	false	true	     yes	3673	62	15	53	0	4	5	15	43	71	0	<S:4> = <init>{2867} -> [22]<S:4>.replace('A', 'C'){480} -> [62]<S:22>.concat(\"C\"){140} -> [173]<S:62>.equals(\"BA\"){3673}
175	\"true\"	false	true	false	     yes	1912	69	15	86	15	203	6375	0	46	633	0	<S:7> = <init>{85} -> [31]<S:7>.concat(\"B\"){316} -> [69]<S:31>.replace('C', 'B'){391} -> [175]<S:69>.contains(\"B\"){1912}
176	\"false\"	false	false	true	     yes	814	67	9	9	0	1	3	9	5	49	0	<S:6> = <init>{71} -> [33]<S:6>.delete(2, 3){426} -> [67]<S:33>.delete(2, 2){279} -> [176]<S:67>.isEmpty(){814}
178	\"false\"	false	false	true	     yes	3521	61	972	14	0	2	8	972	7	59	0	<S:4> = <init>{2867} -> [25]<S:4>.concat(<CS:6>){212} -> [61]<S:25>.delete(5, 5){389} -> [178]<S:61>.equals(\"\"){3521}
180	\"true\"	false	true	true	     yes	4350	51	1092	8	966	28	312	126	4	145	0	<S:7> = <init>{85} -> [35]<S:7>.replace('B', 'A'){3823} -> [51]<S:35>.concat(<CS:37>){204} -> [180]<S:51>.contains(\"C\"){4350}
181	\"false\"	false	true	true	     yes	606	63	127	36	1	1	3	126	26	27	0	<S:5> = <init>{83} -> [28]<S:5>.concat(<CS:6>){210} -> [63]<S:28>.replace('B', 'C'){291} -> [181]<S:63>.isEmpty(){606}
183	\"false\"	false	false	true	     yes	1360	45	8	4	0	1	5	8	5	50	0	<S:7> = <init>{85} -> [30]<S:7>.delete(3, 3){531} -> [45]<S:30>.replace('C', 'A'){697} -> [183]<S:45>.equals(\"BB\"){1360}
185	\"true\"	false	true	false	     yes	1397	75	8	4	8	4	308	0	2	86	0	<S:7> = <init>{85} -> [32]<S:7>.replace('A', 'B'){533} -> [75]<S:32>.delete(3, 3){289} -> [185]<S:75>.contains(\"\"){1397}
186	\"false\"	false	true	true	     yes	898	54	127	47	1	6	3	126	41	45	0	<S:8> = <init>{71} -> [18]<S:8>.replace('B', 'C'){591} -> [54]<S:18>.concat(<CS:29>){195} -> [186]<S:54>.isEmpty(){898}
