ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
69	\"false\"	false	true	true	     yes	143	6	40	676	1	6	27	39	22	87	0	<S:6> = <init>{76} -> [69]<S:6>.isEmpty(){143}
71	\"false\"	false	true	true	     yes	2808	4	40	25	1	21	34	39	43	92	0	<S:4> = <init>{2717} -> [71]<S:4>.equals(\"A\"){2808}
73	\"true\"	false	true	false	     yes	581	5	40	25	40	29	714	0	8	252	0	<S:5> = <init>{76} -> [73]<S:5>.contains(\"\"){581}
74	\"false\"	false	true	true	     yes	130	8	40	25	1	5	8	39	21	70	0	<S:8> = <init>{71} -> [74]<S:8>.isEmpty(){130}
76	\"false\"	false	true	true	     yes	161	7	40	25	1	13	19	39	56	91	0	<S:7> = <init>{76} -> [76]<S:7>.equals(\"B\"){161}
77	\"false\"	false	true	true	     yes	566	27	15	33	1	4	4	14	25	56	0	<S:7> = <init>{76} -> [27]<S:7>.replace('A', 'B'){426} -> [77]<S:27>.isEmpty(){566}
79	\"false\"	false	true	true	     yes	1293	10	40	121	1	18	6	39	8840	102	0	<S:6> = <init>{76} -> [10]<S:6>.concat(\"A\"){1025} -> [79]<S:10>.equals(\"A\"){1293}
81	\"false\"	false	true	true	     yes	803	28	40	379	25	203	935	15	116	443	0	<S:6> = <init>{76} -> [28]<S:6>.concat(\"B\"){348} -> [81]<S:28>.contains(\"A\"){803}
82	\"false\"	false	true	true	     yes	650	21	15	28	1	5	4	14	20	72	0	<S:6> = <init>{76} -> [21]<S:6>.replace('C', 'A'){503} -> [82]<S:21>.isEmpty(){650}
84	\"false\"	false	true	true	     yes	3390	11	15	32	1	9	5	14	35	57	0	<S:4> = <init>{2717} -> [11]<S:4>.replace('A', 'C'){610} -> [84]<S:11>.equals(\"\"){3390}
86	\"true\"	false	true	true	     yes	1343	13	15	24	5	49	785	10	52	403	0	<S:6> = <init>{76} -> [13]<S:6>.replace('A', 'C'){540} -> [86]<S:13>.contains(\"BC\"){1343}
87	\"false\"	false	true	true	     yes	2996	20	1093	40	1	4	4	1092	32	56	0	<S:4> = <init>{2717} -> [20]<S:4>.concat(<CS:6>){225} -> [87]<S:20>.isEmpty(){2996}
89	\"false\"	false	false	true	     yes	1407	22	40	108	0	6	6	40	156	108	0	<S:8> = <init>{71} -> [22]<S:8>.concat(\"A\"){1248} -> [89]<S:22>.equals(\"B\"){1407}
91	\"true\"	false	true	true	     yes	976	12	1093	39	966	815	786	127	405	351	0	<S:5> = <init>{76} -> [12]<S:5>.concat(<CS:4>){263} -> [91]<S:12>.contains(\"B\"){976}
92	\"false\"	false	true	true	     yes	642	23	15	41	1	46	4	14	18	57	0	<S:5> = <init>{76} -> [23]<S:5>.replace('C', 'A'){516} -> [92]<S:23>.isEmpty(){642}
