ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
113	\"false\"	false	true	true	     yes	1572	8	40	13	1	2	86	39	10	417	0	<S:8> = <init>{1261} -> [113]<S:8>.isEmpty(){1572}
115	\"false\"	false	true	true	     yes	3206	4	40	8	1	3	109	39	17	500	0	<S:4> = <init>{2728} -> [115]<S:4>.equals(\"C\"){3206}
117	\"true\"	false	true	true	     yes	5124	7	40	9	25	34	4159	15	12	10280	0	<S:7> = <init>{997} -> [117]<S:7>.contains(\"A\"){5124}
118	\"false\"	false	true	true	     yes	1336	5	40	8	1	2	25	39	10	271	0	<S:5> = <init>{1062} -> [118]<S:5>.isEmpty(){1336}
120	\"false\"	false	true	true	     yes	1253	6	40	8	1	1	40	39	11	317	0	<S:6> = <init>{940} -> [120]<S:6>.equals(\"\"){1253}
121	\"false\"	false	false	true	     yes	4797	24	27	11	0	1	18	27	10	251	0	<S:6> = <init>{940} -> [24]<S:6>.delete(3, 3){3609} -> [121]<S:24>.isEmpty(){4797}
123	\"false\"	false	false	true	     yes	4270	17	40	35	0	1	37	40	36	650	0	<S:8> = <init>{1261} -> [17]<S:8>.concat(\"B\"){2363} -> [123]<S:17>.equals(\"A\"){4270}
125	\"false\"	false	true	true	     yes	10155	33	36	8	4	5	1292	32	12	1154	0	<S:6> = <init>{940} -> [33]<S:6>.delete(2, 3){490} -> [125]<S:33>.contains(\"CB\"){10155}
126	\"false\"	false	true	true	     yes	2998	28	1600	15	1	2	24	1599	20	887	0	<S:5> = <init>{1062} -> [28]<S:5>.concat(<CS:6>){1434} -> [126]<S:28>.isEmpty(){2998}
128	\"false\"	false	false	true	     yes	2792	38	40	34	0	1	35	40	37	606	0	<S:5> = <init>{1062} -> [38]<S:5>.concat(\"B\"){1067} -> [128]<S:38>.equals(\"A\"){2792}
130	\"true\"	false	true	false	     yes	16800	39	40	7	40	12	1519	0	2	812	0	<S:5> = <init>{1062} -> [39]<S:5>.replace('A', 'B'){910} -> [130]<S:39>.contains(\"\"){16800}
131	\"false\"	false	false	true	     yes	4872	37	39	80	0	1	37	39	7	251	0	<S:5> = <init>{1062} -> [37]<S:5>.delete(1, 1){3597} -> [131]<S:37>.isEmpty(){4872}
133	\"false\"	false	false	true	     yes	6114	40	27	7	0	1	26	27	7	291	0	<S:4> = <init>{2728} -> [40]<S:4>.delete(3, 3){3098} -> [133]<S:40>.equals(\"\"){6114}
135	\"false\"	false	true	true	     yes	5223	31	40	18	7	17	14474	33	19	3797	0	<S:7> = <init>{997} -> [31]<S:7>.concat(\"B\"){1005} -> [135]<S:31>.contains(\"BC\"){5223}
136	\"false\"	false	false	true	     yes	2832	30	27	10	0	1	18	27	6	225	0	<S:7> = <init>{997} -> [30]<S:7>.delete(3, 3){1638} -> [136]<S:30>.isEmpty(){2832}
138	\"false\"	false	false	true	     yes	3695	22	40	4	0	1	30	40	6	348	0	<S:4> = <init>{2728} -> [22]<S:4>.replace('A', 'C'){619} -> [138]<S:22>.equals(\"CA\"){3695}
140	\"true\"	false	true	false	     yes	14357	25	1600	8	1600	13	2002	0	2	1591	0	<S:4> = <init>{2728} -> [25]<S:4>.concat(<CS:6>){1548} -> [140]<S:25>.contains(\"\"){14357}
141	\"false\"	false	true	true	     yes	1690	29	40	4	1	1	26	39	6	186	0	<S:5> = <init>{1062} -> [29]<S:5>.replace('B', 'A'){464} -> [141]<S:29>.isEmpty(){1690}
143	\"false\"	false	true	true	     yes	14263	34	1600	8	3	4	117	1597	26	556	0	<S:7> = <init>{997} -> [34]<S:7>.concat(<CS:4>){12710} -> [143]<S:34>.equals(\"AC\"){14263}
145	\"true\"	false	true	false	     yes	3636	35	40	4	40	6	718	0	1	519	0	<S:7> = <init>{997} -> [35]<S:7>.replace('B', 'A'){1916} -> [145]<S:35>.contains(\"\"){3636}
146	\"false\"	false	true	true	     yes	6897	13	1600	8	1	1	22	1599	11	379	0	<S:4> = <init>{2728} -> [13]<S:4>.concat(<CS:5>){3808} -> [146]<S:13>.isEmpty(){6897}
148	\"false\"	false	true	true	     yes	5118	9	40	4	1	1	30	39	6	217	0	<S:4> = <init>{2728} -> [9]<S:4>.replace('A', 'B'){2178} -> [148]<S:9>.equals(\"\"){5118}
150	\"true\"	false	true	true	     yes	15225	41	40	17	25	20	7846	15	16	11498	0	<S:8> = <init>{1261} -> [41]<S:8>.concat(\"C\"){974} -> [150]<S:41>.contains(\"A\"){15225}
151	\"false\"	false	false	true	     yes	4291	44	40	20	0	1	19	40	15	350	0	<S:4> = <init>{2728} -> [44]<S:4>.concat(\"C\"){1196} -> [151]<S:44>.isEmpty(){4291}
153	\"false\"	false	false	true	     yes	3423	21	40	17	0	1	71	40	16	618	0	<S:7> = <init>{997} -> [21]<S:7>.concat(\"C\"){1835} -> [153]<S:21>.equals(\"BB\"){3423}
155	\"false\"	false	true	true	     yes	2760	27	36	5	20	8	1014	16	5	951	0	<S:8> = <init>{1261} -> [27]<S:8>.delete(2, 3){612} -> [155]<S:27>.contains(\"C\"){2760}
156	\"false\"	false	false	true	     yes	2038	16	39	7	0	1	16	39	4	99	0	<S:6> = <init>{940} -> [16]<S:6>.delete(1, 3){1015} -> [156]<S:16>.isEmpty(){2038}
158	\"false\"	false	true	true	     yes	2838	12	36	5	4	2	98	32	6	241	0	<S:6> = <init>{940} -> [12]<S:6>.delete(2, 3){1653} -> [158]<S:12>.equals(\"AA\"){2838}
160	\"true\"	false	true	false	     yes	1854	43	39	4	39	4	280	0	1	193	0	<S:8> = <init>{1261} -> [43]<S:8>.delete(1, 3){329} -> [160]<S:43>.contains(\"\"){1854}
161	\"false\"	false	true	true	     yes	2257	14	40	4	1	1	18	39	6	158	0	<S:5> = <init>{1062} -> [14]<S:5>.replace('B', 'C'){1035} -> [161]<S:14>.isEmpty(){2257}
163	\"false\"	false	false	true	     yes	8953	32	40	3	0	1	23	40	6	327	0	<S:7> = <init>{997} -> [32]<S:7>.replace('A', 'B'){483} -> [163]<S:32>.equals(\"AC\"){8953}
165	\"true\"	false	true	true	     yes	3753	42	40	4	25	10	2394	15	4	2187	0	<S:7> = <init>{997} -> [42]<S:7>.replace('B', 'A'){402} -> [165]<S:42>.contains(\"C\"){3753}
166	\"false\"	false	true	true	     yes	2323	18	40	4	1	1	44	39	6	199	0	<S:8> = <init>{1261} -> [18]<S:8>.replace('B', 'C'){893} -> [166]<S:18>.isEmpty(){2323}
168	\"false\"	false	true	true	     yes	1796	26	40	4	1	1	32	39	6	220	0	<S:6> = <init>{940} -> [26]<S:6>.replace('C', 'A'){633} -> [168]<S:26>.equals(\"\"){1796}
170	\"false\"	false	false	true	     yes	2042	20	40	2	0	1	346	40	5	373	0	<S:5> = <init>{1062} -> [20]<S:5>.delete(0, 2){607} -> [170]<S:20>.contains(\"BC\"){2042}
