ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
174	\"false\"	false	true	true	     yes	2780	7	259	714	1	6	20	258	78	71	0	<S:7> = <init>{2738} -> [174]<S:7>.isEmpty(){2780}
176	\"false\"	false	true	true	     yes	240	8	259	78	1	36	44	258	143	93	0	<S:8> = <init>{140} -> [176]<S:8>.equals(\"Aa\"){240}
178	\"false\"	false	true	true	     yes	311	11	259	79	103	133	1008	156	91	359	0	<S:11> = <init>{110} -> [178]<S:11>.contains(\"c\"){311}
179	\"false\"	false	true	true	     yes	161	9	259	88	1	5	8	258	79	42	0	<S:9> = <init>{125} -> [179]<S:9>.isEmpty(){161}
181	\"false\"	false	true	true	     yes	177	10	259	82	1	4	8	258	73	43	0	<S:10> = <init>{121} -> [181]<S:10>.equals(\"\"){177}
182	\"false\"	false	false	true	     yes	742	43	6	18	0	6	3	6	20	30	0	<S:10> = <init>{121} -> [43]<S:10>.substring(1, 2){593} -> [182]<S:43>.isEmpty(){742}
184	\"false\"	false	false	true	     yes	514	23	6	18	0	6	5	6	30	54	0	<S:11> = <init>{110} -> [23]<S:11>.delete(1, 3){355} -> [184]<S:23>.equals(\"BA\"){514}
186	\"false\"	false	false	true	     yes	11348	63	1	5	0	7	84	1	5	115	0	<S:8> = <init>{140} -> [63]<S:8>.substring(3, 3){485} -> [186]<S:63>.contains(\"B\"){11348}
187	\"true\"	false	true	false	     yes	717	52	1	6	1	4	4	0	7	23	0	<S:10> = <init>{121} -> [52]<S:10>.delete(0, 3){593} -> [187]<S:52>.isEmpty(){717}
189	\"false\"	false	false	true	     yes	661	48	1	5	0	6	5	1	5	43	0	<S:8> = <init>{140} -> [48]<S:8>.substring(2, 2){485} -> [189]<S:48>.equals(\"BC\"){661}
191	\"true\"	false	true	false	     yes	3488	41	40	29	40	27	318	0	7	109	0	<S:7> = <init>{2738} -> [41]<S:7>.toLowerCase(){455} -> [191]<S:41>.contains(\"\"){3488}
192	\"false\"	false	false	true	     yes	433	67	258	76	0	6	2	258	74	49	0	<S:11> = <init>{110} -> [67]<S:11>.delete(1, 1){285} -> [192]<S:67>.isEmpty(){433}
194	\"false\"	false	true	true	     yes	5553	39	55987	630	1	24	6	55986	1100	76	0	<S:9> = <init>{125} -> [39]<S:9>.concat(<CS:10>){5351} -> [194]<S:39>.equals(\"CC\"){5553}
196	\"true\"	false	true	false	     yes	1871	20	55987	484	55987	464	1364	0	6	295	0	<S:9> = <init>{125} -> [20]<S:9>.concat(<CS:7>){777} -> [196]<S:20>.contains(\"\"){1871}
197	\"false\"	false	true	true	     yes	3395	27	156	64	1	4	4	155	62	42	0	<S:7> = <init>{2738} -> [27]<S:7>.replace('a', 'C'){616} -> [197]<S:27>.isEmpty(){3395}
199	\"false\"	false	true	true	     yes	3354	60	156	153	1	26	11	155	88	121	0	<S:7> = <init>{2738} -> [60]<S:7>.replace('b', 'A'){527} -> [199]<S:60>.equals(\"Ac\"){3354}
201	\"true\"	false	true	true	     yes	1307	36	43	15	12	15	432	31	15	219	0	<S:8> = <init>{140} -> [36]<S:8>.delete(0, 1){280} -> [201]<S:36>.contains(\"A\"){1307}
202	\"false\"	false	true	true	     yes	565	46	40	32	1	2	4	39	8	55	0	<S:8> = <init>{140} -> [46]<S:8>.toLowerCase(){390} -> [202]<S:46>.isEmpty(){565}
204	\"false\"	false	true	true	     yes	472	69	55987	81	1	2	5	55986	73	59	0	<S:11> = <init>{110} -> [69]<S:11>.concat(<CS:9>){302} -> [204]<S:69>.equals(\"\"){472}
206	\"true\"	false	true	false	     yes	1106	45	156	51	156	37	471	0	3	123	0	<S:8> = <init>{140} -> [45]<S:8>.replace('B', 'A'){540} -> [206]<S:45>.contains(\"\"){1106}
207	\"false\"	false	false	true	     yes	5963	54	259	51	0	3	3	259	55	125	0	<S:7> = <init>{2738} -> [54]<S:7>.concat(\"c\"){3161} -> [207]<S:54>.isEmpty(){5963}
209	\"false\"	false	false	true	     yes	741	26	259	54	0	4	6	259	61	73	0	<S:10> = <init>{121} -> [26]<S:10>.concat(\"c\"){550} -> [209]<S:26>.equals(\"\"){741}
211	\"false\"	false	false	true	     yes	3435	32	1	3	0	5	81	1	3	114	0	<S:7> = <init>{2738} -> [32]<S:7>.substring(2, 2){582} -> [211]<S:32>.contains(\"B\"){3435}
212	\"false\"	false	true	true	     yes	3153	55	156	17	1	9	9	155	21	141	0	<S:8> = <init>{140} -> [55]<S:8>.replace('c', 'a'){2966} -> [212]<S:55>.isEmpty(){3153}
214	\"false\"	false	true	true	     yes	661	61	40	8	1	7	7	39	11	55	0	<S:10> = <init>{121} -> [61]<S:10>.toLowerCase(){491} -> [214]<S:61>.equals(\"b\"){661}
216	\"false\"	false	true	true	     yes	771	42	36	6	1	8	442	35	17	239	0	<S:9> = <init>{125} -> [42]<S:9>.delete(2, 3){423} -> [216]<S:42>.contains(\"BA\"){771}
217	\"false\"	false	true	true	     yes	2818	56	40	9	1	2	4	39	5	35	0	<S:10> = <init>{121} -> [56]<S:10>.toLowerCase(){2665} -> [217]<S:56>.isEmpty(){2818}
219	\"false\"	false	true	true	     yes	459	62	42	6	1	6	6	41	9	52	0	<S:8> = <init>{140} -> [62]<S:8>.delete(1, 2){271} -> [219]<S:62>.equals(\"B\"){459}
221	\"false\"	false	true	true	     yes	740	59	259	140	103	49	1043	156	107	279	0	<S:10> = <init>{121} -> [59]<S:10>.concat(\"b\"){383} -> [221]<S:59>.contains(\"C\"){740}
222	\"false\"	false	true	true	     yes	1084	40	156	33	1	2	4	155	26	42	0	<S:11> = <init>{110} -> [40]<S:11>.replace('b', 'A'){936} -> [222]<S:40>.isEmpty(){1084}
224	\"false\"	false	true	true	     yes	598	57	6	5	1	5	6	5	6	44	0	<S:10> = <init>{121} -> [57]<S:10>.delete(1, 3){438} -> [224]<S:57>.equals(\"A\"){598}
226	\"true\"	false	true	false	     yes	2207	16	216	8	216	8	325	0	3	105	0	<S:9> = <init>{125} -> [16]<S:9>.delete(3, 3){1749} -> [226]<S:16>.contains(\"\"){2207}
227	\"false\"	false	true	true	     yes	1645	50	156	14	1	2	3	155	11	38	0	<S:11> = <init>{110} -> [50]<S:11>.replace('A', 'C'){1501} -> [227]<S:50>.isEmpty(){1645}
229	\"false\"	false	true	true	     yes	663	28	40	6	1	2	5	39	4	39	0	<S:9> = <init>{125} -> [28]<S:9>.toLowerCase(){503} -> [229]<S:28>.equals(\"\"){663}
231	\"false\"	false	true	true	     yes	2303	53	36	6	11	11	365	25	12	184	0	<S:11> = <init>{110} -> [53]<S:11>.substring(1, 3){2011} -> [231]<S:53>.contains(\"b\"){2303}
232	\"true\"	false	true	false	     yes	3215	68	1	3	1	2	4	0	3	22	0	<S:7> = <init>{2738} -> [68]<S:7>.substring(3, 3){474} -> [232]<S:68>.isEmpty(){3215}
