ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
174	\"false\"	false	true	true	     yes	2856	7	259	704	1	6	17	258	67	78	0	<S:7> = <init>{2805} -> [174]<S:7>.isEmpty(){2856}
176	\"false\"	false	true	true	     yes	167	8	259	63	1	27	45	258	105	98	0	<S:8> = <init>{80} -> [176]<S:8>.equals(\"Aa\"){167}
178	\"false\"	false	true	true	     yes	399	11	259	66	103	116	818	156	82	8974	0	<S:11> = <init>{77} -> [178]<S:11>.contains(\"c\"){399}
179	\"false\"	false	true	true	     yes	118	9	259	77	1	10	9	258	66	50	0	<S:9> = <init>{70} -> [179]<S:9>.isEmpty(){118}
181	\"false\"	false	true	true	     yes	123	10	259	70	1	10	13	258	64	57	0	<S:10> = <init>{71} -> [181]<S:10>.equals(\"\"){123}
182	\"false\"	false	false	true	     yes	930	43	6	14	0	2	2	6	21	56	0	<S:10> = <init>{71} -> [43]<S:10>.substring(1, 2){814} -> [182]<S:43>.isEmpty(){930}
184	\"false\"	false	true	true	     yes	740	23	6	22	0	12	10	6	20	91	0	<S:11> = <init>{77} -> [23]<S:11>.delete(1, 3){581} -> [184]<S:23>.equals(\"BA\"){740}
186	\"false\"	false	false	true	     yes	762	63	1	5	0	3	131	1	6	198	0	<S:8> = <init>{80} -> [63]<S:8>.substring(3, 3){502} -> [186]<S:63>.contains(\"B\"){762}
187	\"true\"	false	true	true	     yes	366	52	1	7	1	5	7	0	3	49	0	<S:10> = <init>{71} -> [52]<S:10>.delete(0, 3){292} -> [187]<S:52>.isEmpty(){366}
189	\"false\"	false	false	true	     yes	659	48	1	5	0	2	5	1	5	63	0	<S:8> = <init>{80} -> [48]<S:8>.substring(2, 2){520} -> [189]<S:48>.equals(\"BC\"){659}
191	\"true\"	false	true	false	     yes	3587	41	40	25	40	30	360	0	8	168	0	<S:7> = <init>{2805} -> [41]<S:7>.toLowerCase(){445} -> [191]<S:41>.contains(\"\"){3587}
192	\"false\"	false	false	true	     yes	415	67	258	62	0	2	3	258	61	45	0	<S:11> = <init>{77} -> [67]<S:11>.delete(1, 1){288} -> [192]<S:67>.isEmpty(){415}
194	\"false\"	false	true	true	     yes	406	39	55987	7813	1	19	11	55986	822	113	0	<S:9> = <init>{70} -> [39]<S:9>.concat(<CS:10>){250} -> [194]<S:39>.equals(\"CC\"){406}
196	\"true\"	false	true	false	     yes	831	20	55987	344	55987	288	418	0	6	176	0	<S:9> = <init>{70} -> [20]<S:9>.concat(<CS:7>){366} -> [196]<S:20>.contains(\"\"){831}
197	\"false\"	false	true	true	     yes	3428	27	156	52	1	3	3	155	71	52	0	<S:7> = <init>{2805} -> [27]<S:7>.replace('a', 'C'){574} -> [197]<S:27>.isEmpty(){3428}
199	\"false\"	false	true	true	     yes	3277	60	156	54	1	7	6	155	61	85	0	<S:7> = <init>{2805} -> [60]<S:7>.replace('b', 'A'){373} -> [199]<S:60>.equals(\"Ac\"){3277}
201	\"true\"	false	true	true	     yes	941	36	43	17	12	23	528	31	14	297	0	<S:8> = <init>{80} -> [36]<S:8>.delete(0, 1){367} -> [201]<S:36>.contains(\"A\"){941}
202	\"false\"	false	true	true	     yes	472	46	40	9	1	3	5	39	5	47	0	<S:8> = <init>{80} -> [46]<S:8>.toLowerCase(){364} -> [202]<S:46>.isEmpty(){472}
204	\"false\"	false	true	true	     yes	272	69	55987	32	1	4	5	55986	28	37	0	<S:11> = <init>{77} -> [69]<S:11>.concat(<CS:9>){162} -> [204]<S:69>.equals(\"\"){272}
206	\"true\"	false	true	false	     yes	892	45	156	26	156	28	325	0	3	119	0	<S:8> = <init>{80} -> [45]<S:8>.replace('B', 'A'){513} -> [206]<S:45>.contains(\"\"){892}
207	\"false\"	false	false	true	     yes	3066	54	259	63	0	1	2	259	72	41	0	<S:7> = <init>{2805} -> [54]<S:7>.concat(\"c\"){218} -> [207]<S:54>.isEmpty(){3066}
209	\"false\"	false	false	true	     yes	477	26	259	63	0	2	6	259	62	46	0	<S:10> = <init>{71} -> [26]<S:10>.concat(\"c\"){364} -> [209]<S:26>.equals(\"\"){477}
211	\"false\"	false	false	true	     yes	3916	32	1	3	0	1	125	1	3	166	0	<S:7> = <init>{2805} -> [32]<S:7>.substring(2, 2){949} -> [211]<S:32>.contains(\"B\"){3916}
212	\"false\"	false	true	true	     yes	464	55	156	19	1	2	4	155	11	46	0	<S:8> = <init>{80} -> [55]<S:8>.replace('c', 'a'){344} -> [212]<S:55>.isEmpty(){464}
214	\"false\"	false	true	true	     yes	411	61	40	6	1	6	6	39	10	64	0	<S:10> = <init>{71} -> [61]<S:10>.toLowerCase(){281} -> [214]<S:61>.equals(\"b\"){411}
216	\"false\"	false	true	true	     yes	3316	42	36	8	1	15	557	35	15	271	0	<S:9> = <init>{70} -> [42]<S:9>.delete(2, 3){680} -> [216]<S:42>.contains(\"BA\"){3316}
217	\"false\"	false	true	true	     yes	378	56	40	8	1	2	4	39	4	32	0	<S:10> = <init>{71} -> [56]<S:10>.toLowerCase(){279} -> [217]<S:56>.isEmpty(){378}
219	\"false\"	false	true	true	     yes	427	62	42	6	1	6	6	41	9	53	0	<S:8> = <init>{80} -> [62]<S:8>.delete(1, 2){299} -> [219]<S:62>.equals(\"B\"){427}
221	\"false\"	false	true	true	     yes	482	59	259	170	103	94	500	156	206	225	0	<S:10> = <init>{71} -> [59]<S:10>.concat(\"b\"){197} -> [221]<S:59>.contains(\"C\"){482}
222	\"false\"	false	true	true	     yes	2914	40	156	26	1	2	3	155	28	35	0	<S:11> = <init>{77} -> [40]<S:11>.replace('b', 'A'){2804} -> [222]<S:40>.isEmpty(){2914}
224	\"false\"	false	true	true	     yes	415	57	6	5	1	5	6	5	6	53	0	<S:10> = <init>{71} -> [57]<S:10>.delete(1, 3){295} -> [224]<S:57>.equals(\"A\"){415}
226	\"true\"	false	true	false	     yes	14465	16	216	7	216	8	381	0	3	123	0	<S:9> = <init>{70} -> [16]<S:9>.delete(3, 3){14015} -> [226]<S:16>.contains(\"\"){14465}
227	\"false\"	false	true	true	     yes	472	50	156	13	1	2	14	155	11	35	0	<S:11> = <init>{77} -> [50]<S:11>.replace('A', 'C'){365} -> [227]<S:50>.isEmpty(){472}
