ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
87	\"false\"	false	true	true	     yes	2714	4	40	734	1	6	16	39	23	61	0	<S:4> = <init>{2675} -> [87]<S:4>.isEmpty(){2714}
89	\"false\"	false	true	true	     yes	196	6	40	32	1	49	52	39	76	89	0	<S:6> = <init>{130} -> [89]<S:6>.equals(\"BB\"){196}
91	\"true\"	false	true	false	     yes	563	8	40	31	40	28	803	0	8	170	0	<S:8> = <init>{130} -> [91]<S:8>.contains(\"\"){563}
92	\"false\"	false	true	true	     yes	178	5	40	27	1	5	7	39	22	44	0	<S:5> = <init>{134} -> [92]<S:5>.isEmpty(){178}
94	\"false\"	false	true	true	     yes	190	7	40	26	1	4	8	39	22	51	0	<S:7> = <init>{143} -> [94]<S:7>.equals(\"\"){190}
95	\"false\"	false	false	true	     yes	918	17	40	305	0	8	3	40	313	101	0	<S:8> = <init>{130} -> [17]<S:8>.concat(\"B\"){698} -> [95]<S:17>.isEmpty(){918}
97	\"false\"	false	false	true	     yes	983	33	3	13	0	7	9	3	12	45	0	<S:7> = <init>{143} -> [33]<S:7>.substring(2, 3){798} -> [97]<S:33>.equals(\"\"){983}
99	\"true\"	false	true	false	     yes	1827	18	9	17	9	17	351	0	7	124	0	<S:8> = <init>{130} -> [18]<S:8>.substring(1, 3){1328} -> [99]<S:18>.contains(\"\"){1827}
100	\"true\"	false	true	false	     yes	540	31	1	8	1	5	3	0	7	26	0	<S:5> = <init>{134} -> [31]<S:5>.substring(0, 0){403} -> [100]<S:31>.isEmpty(){540}
102	\"false\"	false	false	true	     yes	3641	13	3	16	0	6	4	3	18	41	0	<S:4> = <init>{2675} -> [13]<S:4>.substring(0, 1){927} -> [102]<S:13>.equals(\"\"){3641}
104	\"true\"	false	true	true	     yes	2648	27	1093	39	966	154	4915	127	46	386	0	<S:7> = <init>{143} -> [27]<S:7>.concat(<CS:8>){1418} -> [104]<S:27>.contains(\"A\"){2648}
105	\"false\"	false	false	true	     yes	1396	16	9	18	0	8	3	9	16	40	0	<S:6> = <init>{130} -> [16]<S:6>.substring(1, 3){1231} -> [105]<S:16>.isEmpty(){1396}
107	\"false\"	false	true	true	     yes	762	14	1093	38	1	28	6	1092	88	77	0	<S:5> = <init>{134} -> [14]<S:5>.concat(<CS:4>){557} -> [107]<S:14>.equals(\"B\"){762}
109	\"true\"	false	true	true	     yes	1433	32	40	112	25	130	6547	15	67	249	0	<S:7> = <init>{143} -> [32]<S:7>.concat(\"C\"){488} -> [109]<S:32>.contains(\"A\"){1433}
110	\"true\"	false	true	false	     yes	778	22	1	5	1	4	3	0	7	32	0	<S:7> = <init>{143} -> [22]<S:7>.substring(2, 2){632} -> [110]<S:22>.isEmpty(){778}
112	\"false\"	false	true	true	     yes	2787	19	1093	32	1	5	4	1092	26	87	0	<S:5> = <init>{134} -> [19]<S:5>.concat(<CS:8>){2596} -> [112]<S:19>.equals(\"\"){2787}
114	\"true\"	false	true	true	     yes	1631	34	40	207	25	103	825	15	66	254	0	<S:7> = <init>{143} -> [34]<S:7>.concat(\"B\"){689} -> [114]<S:34>.contains(\"A\"){1631}
115	\"false\"	false	false	true	     yes	3499	12	40	63	0	3	3	40	34	65	0	<S:6> = <init>{130} -> [12]<S:6>.concat(\"A\"){3308} -> [115]<S:12>.isEmpty(){3499}
117	\"false\"	false	false	true	     yes	3582	26	9	30	0	3	5	9	7	71	0	<S:4> = <init>{2675} -> [26]<S:4>.substring(1, 3){864} -> [117]<S:26>.equals(\"\"){3582}
