ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
113	\"false\"	false	true	true	     yes	189	8	40	690	1	6	31	39	24	91	0	<S:8> = <init>{128} -> [113]<S:8>.isEmpty(){189}
115	\"false\"	false	true	true	     yes	3690	4	40	34	1	29	34	39	42	94	0	<S:4> = <init>{3604} -> [115]<S:4>.equals(\"C\"){3690}
117	\"true\"	false	true	true	     yes	988	7	40	27	25	55	1094	15	32	402	0	<S:7> = <init>{153} -> [117]<S:7>.contains(\"A\"){988}
118	\"false\"	false	true	true	     yes	188	5	40	28	1	5	7	39	28	55	0	<S:5> = <init>{135} -> [118]<S:5>.isEmpty(){188}
120	\"false\"	false	true	true	     yes	186	6	40	27	1	5	12	39	27	60	0	<S:6> = <init>{123} -> [120]<S:6>.equals(\"\"){186}
121	\"false\"	false	false	true	     yes	1188	24	27	21	0	7	7	27	27	86	0	<S:6> = <init>{123} -> [24]<S:6>.delete(3, 3){1012} -> [121]<S:24>.isEmpty(){1188}
123	\"false\"	false	false	true	     yes	3538	17	40	340	0	7	6	40	1577	181	0	<S:8> = <init>{128} -> [17]<S:8>.concat(\"B\"){3264} -> [123]<S:17>.equals(\"A\"){3538}
125	\"false\"	false	true	true	     yes	778	33	9	22	1	22	559	8	38	354	0	<S:6> = <init>{123} -> [33]<S:6>.delete(2, 3){309} -> [125]<S:33>.contains(\"CB\"){778}
126	\"false\"	false	true	true	     yes	638	28	1093	46	1	5	4	1092	38	75	0	<S:5> = <init>{135} -> [28]<S:5>.concat(<CS:6>){429} -> [126]<S:28>.isEmpty(){638}
128	\"false\"	false	false	true	     yes	652	38	40	314	0	7	6	40	355	146	0	<S:5> = <init>{135} -> [38]<S:5>.concat(\"B\"){396} -> [128]<S:38>.equals(\"A\"){652}
130	\"true\"	false	true	false	     yes	1234	39	15	33	15	28	815	0	8	166	0	<S:5> = <init>{135} -> [39]<S:5>.replace('A', 'B'){443} -> [130]<S:39>.contains(\"\"){1234}
131	\"false\"	false	false	true	     yes	600	37	39	26	0	7	3	39	29	70	0	<S:5> = <init>{135} -> [37]<S:5>.delete(1, 1){403} -> [131]<S:37>.isEmpty(){600}
133	\"false\"	false	false	true	     yes	3948	40	27	22	0	7	6	27	21	75	0	<S:4> = <init>{3604} -> [40]<S:4>.delete(3, 3){262} -> [133]<S:40>.equals(\"\"){3948}
135	\"false\"	false	true	true	     yes	1584	31	40	377	7	122	17222	33	2138	750	0	<S:7> = <init>{153} -> [31]<S:7>.concat(\"B\"){460} -> [135]<S:31>.contains(\"BC\"){1584}
136	\"false\"	false	false	true	     yes	524	30	27	19	0	7	7	27	16	61	0	<S:7> = <init>{153} -> [30]<S:7>.delete(3, 3){314} -> [136]<S:30>.isEmpty(){524}
138	\"false\"	false	false	true	     yes	4379	22	15	25	0	6	6	15	24	95	0	<S:4> = <init>{3604} -> [22]<S:4>.replace('A', 'C'){689} -> [138]<S:22>.equals(\"CA\"){4379}
140	\"true\"	false	true	false	     yes	4867	25	1093	27	1093	51	795	0	6	191	0	<S:4> = <init>{3604} -> [25]<S:4>.concat(<CS:6>){484} -> [140]<S:25>.contains(\"\"){4867}
141	\"false\"	false	true	true	     yes	876	29	15	44	1	2	3	14	28	77	0	<S:5> = <init>{135} -> [29]<S:5>.replace('B', 'A'){678} -> [141]<S:29>.isEmpty(){876}
143	\"false\"	false	true	true	     yes	607	34	1093	28	1	6	7	1092	28	108	0	<S:7> = <init>{153} -> [34]<S:7>.concat(<CS:4>){351} -> [143]<S:34>.equals(\"AC\"){607}
145	\"true\"	false	true	false	     yes	1414	35	15	18	15	31	632	0	9	9088	0	<S:7> = <init>{153} -> [35]<S:7>.replace('B', 'A'){652} -> [145]<S:35>.contains(\"\"){1414}
146	\"false\"	false	true	true	     yes	4398	13	1093	32	1	2	4	1092	10	69	0	<S:4> = <init>{3604} -> [13]<S:4>.concat(<CS:5>){732} -> [146]<S:13>.isEmpty(){4398}
