ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
86	\"false\"	false	true	true	     yes	3551	4	40	679	1	6	27	39	76	66	0	<S:4> = <init>{3506} -> [86]<S:4>.isEmpty(){3551}
88	\"false\"	false	true	true	     yes	260	6	40	26	1	27	58	39	67	81	0	<S:6> = <init>{76} -> [88]<S:6>.equals(\"BB\"){260}
90	\"true\"	false	true	false	     yes	373	8	40	27	40	26	624	0	11	170	0	<S:8> = <init>{69} -> [90]<S:8>.contains(\"\"){373}
91	\"false\"	false	true	true	     yes	114	5	40	25	1	5	6	39	20	39	0	<S:5> = <init>{76} -> [91]<S:5>.isEmpty(){114}
93	\"false\"	false	true	true	     yes	117	7	40	24	1	9	8	39	20	46	0	<S:7> = <init>{76} -> [93]<S:7>.equals(\"\"){117}
94	\"false\"	false	false	true	     yes	509	17	40	348	0	2	2	40	340	53	0	<S:8> = <init>{69} -> [17]<S:8>.concat(\"B\"){387} -> [94]<S:17>.isEmpty(){509}
96	\"false\"	false	false	true	     yes	550	33	9	15	0	6	4	9	17	52	0	<S:7> = <init>{76} -> [33]<S:7>.delete(2, 3){427} -> [96]<S:33>.equals(\"\"){550}
98	\"true\"	false	true	false	     yes	797	18	3	10	3	11	340	0	7	131	0	<S:8> = <init>{69} -> [18]<S:8>.delete(1, 3){435} -> [98]<S:18>.contains(\"\"){797}
99	\"false\"	false	true	true	     yes	399	31	40	24	1	4	3	39	19	38	0	<S:5> = <init>{76} -> [31]<S:5>.delete(0, 0){288} -> [99]<S:31>.isEmpty(){399}
101	\"false\"	false	true	true	     yes	4031	13	13	20	1	10	4	12	15	59	0	<S:4> = <init>{3506} -> [13]<S:4>.delete(0, 1){488} -> [101]<S:13>.equals(\"\"){4031}
103	\"true\"	false	true	true	     yes	667	27	1093	40	966	105	363	127	34	288	0	<S:7> = <init>{76} -> [27]<S:7>.concat(<CS:8>){219} -> [103]<S:27>.contains(\"A\"){667}
104	\"false\"	false	false	true	     yes	596	16	3	21	0	2	5	3	12	97	0	<S:6> = <init>{76} -> [16]<S:6>.delete(1, 3){483} -> [104]<S:16>.isEmpty(){596}
106	\"false\"	false	true	true	     yes	457	14	1093	51	1	14	7	1092	83	137	0	<S:5> = <init>{76} -> [14]<S:5>.concat(<CS:4>){273} -> [106]<S:14>.equals(\"B\"){457}
108	\"true\"	false	true	true	     yes	830	32	40	96	25	89	510	15	88	245	0	<S:7> = <init>{76} -> [32]<S:7>.concat(\"C\"){278} -> [108]<S:32>.contains(\"A\"){830}
109	\"false\"	false	false	true	     yes	885	22	36	22	0	2	3	36	19	39	0	<S:7> = <init>{76} -> [22]<S:7>.delete(2, 2){774} -> [109]<S:22>.isEmpty(){885}
111	\"false\"	false	true	true	     yes	342	19	1093	35	1	9	5	1092	30	39	0	<S:5> = <init>{76} -> [19]<S:5>.concat(<CS:8>){230} -> [111]<S:19>.equals(\"\"){342}
113	\"true\"	false	true	true	     yes	1038	34	40	370	25	186	499	15	92	232	0	<S:7> = <init>{76} -> [34]<S:7>.concat(\"B\"){440} -> [113]<S:34>.contains(\"A\"){1038}
