ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
69	\"false\"	false	true	true	     yes	166	6	40	672	1	6	24	39	23	97	0	<S:6> = <init>{102} -> [69]<S:6>.isEmpty(){166}
71	\"false\"	false	true	true	     yes	2789	4	40	27	1	22	41	39	41	106	0	<S:4> = <init>{2699} -> [71]<S:4>.equals(\"A\"){2789}
73	\"true\"	false	true	false	     yes	756	5	40	27	40	37	816	0	8	211	0	<S:5> = <init>{111} -> [73]<S:5>.contains(\"\"){756}
74	\"false\"	false	true	true	     yes	162	8	40	28	1	5	7	39	28	71	0	<S:8> = <init>{99} -> [74]<S:8>.isEmpty(){162}
76	\"false\"	false	true	true	     yes	196	7	40	27	1	13	14	39	60	94	0	<S:7> = <init>{112} -> [76]<S:7>.equals(\"B\"){196}
77	\"false\"	false	true	true	     yes	727	27	15	32	1	4	3	14	27	78	0	<S:7> = <init>{112} -> [27]<S:7>.replace('A', 'B'){554} -> [77]<S:27>.isEmpty(){727}
79	\"false\"	false	true	true	     yes	1044	10	40	117	1	20	6	39	109	110	0	<S:6> = <init>{102} -> [10]<S:6>.concat(\"A\"){838} -> [79]<S:10>.equals(\"A\"){1044}
81	\"false\"	false	true	true	     yes	1056	28	40	334	25	166	2230	15	116	713	0	<S:6> = <init>{102} -> [28]<S:6>.concat(\"B\"){460} -> [81]<S:28>.contains(\"A\"){1056}
82	\"false\"	false	true	true	     yes	862	21	15	34	1	5	4	14	23	73	0	<S:6> = <init>{102} -> [21]<S:6>.replace('C', 'A'){693} -> [82]<S:21>.isEmpty(){862}
84	\"false\"	false	true	true	     yes	3694	11	15	38	1	5	5	14	24	79	0	<S:4> = <init>{2699} -> [11]<S:4>.replace('A', 'C'){915} -> [84]<S:11>.equals(\"\"){3694}
86	\"true\"	false	true	true	     yes	2037	13	15	29	5	50	1117	10	72	518	0	<S:6> = <init>{102} -> [13]<S:6>.replace('A', 'C'){870} -> [86]<S:13>.contains(\"BC\"){2037}
87	\"false\"	false	true	true	     yes	3294	20	1093	50	1	5	5	1092	43	88	0	<S:4> = <init>{2699} -> [20]<S:4>.concat(<CS:6>){512} -> [87]<S:20>.isEmpty(){3294}
89	\"false\"	false	false	true	     yes	715	22	40	112	0	7	6	40	149	142	0	<S:8> = <init>{99} -> [22]<S:8>.concat(\"A\"){493} -> [89]<S:22>.equals(\"B\"){715}
91	\"true\"	false	true	true	     yes	2976	12	1093	66	966	1110	2308	127	619	471	0	<S:5> = <init>{111} -> [12]<S:5>.concat(<CS:4>){674} -> [91]<S:12>.contains(\"B\"){2976}
