ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
174	\"false\"	false	true	true	     yes	2083	7	259	76	1	74	74	258	168	168	0	<S:7> = <init>{1829} -> [174]<S:7>.isEmpty(){2083}
176	\"false\"	false	true	true	     yes	2184	8	259	1	1	594	594	258	406	406	0	<S:8> = <init>{1811} -> [176]<S:8>.equals(\"Aa\"){2184}
178	\"false\"	false	true	true	     yes	777	11	259	1	103	462	462	156	390	390	0	<S:11> = <init>{395} -> [178]<S:11>.contains(\"c\"){777}
179	\"false\"	false	true	true	     yes	1640	9	259	184	1	123	123	258	223	223	0	<S:9> = <init>{1422} -> [179]<S:9>.isEmpty(){1640}
181	\"false\"	false	true	true	     yes	991	10	259	1	1	262	262	258	372	372	0	<S:10> = <init>{713} -> [181]<S:10>.equals(\"\"){991}
182	\"false\"	false	false	true	     yes	868	43	252	202	0	4	4	252	6	6	0	<S:10> = <init>{713} -> [43]<S:10>.substring(1, 2){150} -> [182]<S:43>.isEmpty(){868}
184	\"false\"	false	false	true	     yes	668	23	258	1	0	28	28	258	12	12	0	<S:11> = <init>{395} -> [23]<S:11>.delete(1, 3){262} -> [184]<S:23>.equals(\"BA\"){668}
186	\"false\"	false	false	true	     yes	2066	63	216	1	0	16	16	216	9	9	0	<S:8> = <init>{1811} -> [63]<S:8>.substring(3, 3){248} -> [186]<S:63>.contains(\"B\"){2066}
187	\"true\"	false	true	false	     yes	853	52	259	4	259	4	4	0	2	2	0	<S:10> = <init>{713} -> [52]<S:10>.delete(0, 3){137} -> [187]<S:52>.isEmpty(){853}
189	\"false\"	false	false	true	     yes	1958	48	252	1	0	4	4	252	7	7	0	<S:8> = <init>{1811} -> [48]<S:8>.substring(2, 2){141} -> [189]<S:48>.equals(\"BC\"){1958}
191	\"true\"	false	true	false	     yes	2029	41	259	1	259	49	49	0	30	30	0	<S:7> = <init>{1829} -> [41]<S:7>.toLowerCase(){155} -> [191]<S:41>.contains(\"\"){2029}
192	\"false\"	false	false	true	     yes	797	67	258	29	0	66	66	258	211	211	0	<S:11> = <init>{395} -> [67]<S:11>.delete(1, 1){202} -> [192]<S:67>.isEmpty(){797}
194	\"false\"	false	true	true	     yes	95792	39	67081	1	3	23473	23473	67078	68107	68107	0	<S:9> = <init>{1422} -> [39]<S:9>.concat(<CS:10>){35504} -> [194]<S:39>.equals(\"CC\"){95792}
196	\"true\"	false	true	false	     yes	165911	20	67081	2	67081	146540	146540	0	29633	29633	0	<S:9> = <init>{1422} -> [20]<S:9>.concat(<CS:7>){120456} -> [196]<S:20>.contains(\"\"){165911}
197	\"false\"	false	true	true	     yes	2330	27	259	37220	1	47	47	258	96	96	0	<S:7> = <init>{1829} -> [27]<S:7>.replace('a', 'C'){410} -> [197]<S:27>.isEmpty(){2330}
199	\"false\"	false	true	true	     yes	2038	60	259	1	2	120	120	257	72	72	0	<S:7> = <init>{1829} -> [60]<S:7>.replace('b', 'A'){146} -> [199]<S:60>.equals(\"Ac\"){2038}
201	\"true\"	false	true	true	     yes	1997	36	259	1	72	91	91	187	133	133	0	<S:8> = <init>{1811} -> [36]<S:8>.delete(0, 1){173} -> [201]<S:36>.contains(\"A\"){1997}
202	\"false\"	false	true	true	     yes	2270	46	259	9	1	13	13	258	22	22	0	<S:8> = <init>{1811} -> [46]<S:8>.toLowerCase(){439} -> [202]<S:46>.isEmpty(){2270}
204	\"false\"	false	true	true	     yes	72011	69	67081	1	1	17419	17419	67080	51225	51225	0	<S:11> = <init>{395} -> [69]<S:11>.concat(<CS:9>){35627} -> [204]<S:69>.equals(\"\"){72011}
206	\"true\"	false	true	false	     yes	2029	45	259	2	259	75	75	0	95	95	0	<S:8> = <init>{1811} -> [45]<S:8>.replace('B', 'A'){154} -> [206]<S:45>.contains(\"\"){2029}
207	\"false\"	false	false	true	     yes	2079	54	259	89	0	70	70	259	149	149	0	<S:7> = <init>{1829} -> [54]<S:7>.concat(\"c\"){106} -> [207]<S:54>.isEmpty(){2079}
209	\"false\"	false	false	true	     yes	1638	26	259	1	0	43	43	259	92	92	0	<S:10> = <init>{713} -> [26]<S:10>.concat(\"c\"){838} -> [209]<S:26>.equals(\"\"){1638}
211	\"false\"	false	false	true	     yes	2029	32	252	1	0	3	3	252	5	5	0	<S:7> = <init>{1829} -> [32]<S:7>.substring(2, 2){173} -> [211]<S:32>.contains(\"B\"){2029}
212	\"false\"	false	true	true	     yes	2067	55	259	2	1	43	43	258	95	95	0	<S:8> = <init>{1811} -> [55]<S:8>.replace('c', 'a'){166} -> [212]<S:55>.isEmpty(){2067}
214	\"false\"	false	true	true	     yes	871	61	259	1	2	15	15	257	13	13	0	<S:10> = <init>{713} -> [61]<S:10>.toLowerCase(){148} -> [214]<S:61>.equals(\"b\"){871}
216	\"false\"	false	true	true	     yes	1656	42	252	1	7	68	68	245	79	79	0	<S:9> = <init>{1422} -> [42]<S:9>.delete(2, 3){195} -> [216]<S:42>.contains(\"BA\"){1656}
217	\"false\"	false	true	true	     yes	886	56	259	17	1	13	13	258	24	24	0	<S:10> = <init>{713} -> [56]<S:10>.toLowerCase(){154} -> [217]<S:56>.isEmpty(){886}
219	\"false\"	false	true	true	     yes	1982	62	258	1	7	12	12	251	13	13	0	<S:8> = <init>{1811} -> [62]<S:8>.delete(1, 2){161} -> [219]<S:62>.equals(\"B\"){1982}
221	\"false\"	false	true	true	     yes	1003	59	259	1	103	127	127	156	197	197	0	<S:10> = <init>{713} -> [59]<S:10>.concat(\"b\"){97} -> [221]<S:59>.contains(\"C\"){1003}
222	\"false\"	false	true	true	     yes	674	40	259	56	1	65	65	258	89	89	0	<S:11> = <init>{395} -> [40]<S:11>.replace('b', 'A'){191} -> [222]<S:40>.isEmpty(){674}
224	\"false\"	false	true	true	     yes	869	57	258	1	43	12	12	215	3	3	0	<S:10> = <init>{713} -> [57]<S:10>.delete(1, 3){155} -> [224]<S:57>.equals(\"A\"){869}
226	\"true\"	false	true	false	     yes	4231	16	216	1	216	116	116	0	115	115	0	<S:9> = <init>{1422} -> [16]<S:9>.delete(3, 3){2711} -> [226]<S:16>.contains(\"\"){4231}
227	\"false\"	false	true	true	     yes	637	50	259	48	1	43	43	258	100	100	0	<S:11> = <init>{395} -> [50]<S:11>.replace('A', 'C'){156} -> [227]<S:50>.isEmpty(){637}
229	\"false\"	false	true	true	     yes	1778	28	259	1	1	12	12	258	13	13	0	<S:9> = <init>{1422} -> [28]<S:9>.toLowerCase(){340} -> [229]<S:28>.equals(\"\"){1778}
231	\"false\"	false	true	true	     yes	817	53	216	1	66	14	14	150	44	44	0	<S:11> = <init>{395} -> [53]<S:11>.substring(1, 3){410} -> [231]<S:53>.contains(\"b\"){817}
232	\"true\"	false	true	false	     yes	2081	68	216	6	216	3	3	0	1	1	0	<S:7> = <init>{1829} -> [68]<S:7>.substring(3, 3){251} -> [232]<S:68>.isEmpty(){2081}
234	\"false\"	false	true	true	     yes	1612	64	259	1	1	46	46	258	94	94	0	<S:9> = <init>{1422} -> [64]<S:9>.concat(\"c\"){100} -> [234]<S:64>.equals(\"bc\"){1612}
236	\"false\"	false	true	true	     yes	2236	47	216	1	12	51	51	204	108	108	0	<S:8> = <init>{1811} -> [47]<S:8>.delete(3, 3){327} -> [236]<S:47>.contains(\"cb\"){2236}
237	\"true\"	false	true	false	     yes	2063	58	216	43	216	3	3	0	1	1	0	<S:8> = <init>{1811} -> [58]<S:8>.substring(3, 3){251} -> [237]<S:58>.isEmpty(){2063}
239	\"false\"	false	false	true	     yes	2031	49	259	1	0	44	44	259	109	109	0	<S:7> = <init>{1829} -> [49]<S:7>.concat(\"B\"){112} -> [239]<S:49>.equals(\"A\"){2031}
241	\"false\"	false	true	true	     yes	5773	12	259	1	26	40	40	233	69	69	0	<S:7> = <init>{1829} -> [12]<S:7>.replace('A', 'B'){3880} -> [241]<S:12>.contains(\"bB\"){5773}
242	\"false\"	false	false	true	     yes	1097	44	259	30	0	66	66	259	143	143	0	<S:10> = <init>{713} -> [44]<S:10>.concat(\"B\"){244} -> [242]<S:44>.isEmpty(){1097}
244	\"false\"	false	true	true	     yes	1991	51	259	1	1	12	12	258	13	13	0	<S:7> = <init>{1829} -> [51]<S:7>.toLowerCase(){152} -> [244]<S:51>.equals(\"\"){1991}
246	\"true\"	false	true	false	     yes	1092	19	252	1	252	6	6	0	3	3	0	<S:10> = <init>{713} -> [19]<S:10>.substring(1, 2){375} -> [246]<S:19>.contains(\"\"){1092}
247	\"false\"	false	true	true	     yes	2424	13	259	2	1	12	12	258	20	20	0	<S:9> = <init>{1422} -> [13]<S:9>.toLowerCase(){984} -> [247]<S:13>.isEmpty(){2424}
249	\"false\"	false	false	true	     yes	2426	25	252	1	0	7	7	252	11	11	0	<S:8> = <init>{1811} -> [25]<S:8>.substring(0, 2){607} -> [249]<S:25>.equals(\"A\"){2426}
251	\"false\"	false	false	true	     yes	1874	22	259	1	0	15	15	259	23	23	0	<S:9> = <init>{1422} -> [22]<S:9>.toLowerCase(){430} -> [251]<S:22>.contains(\"bB\"){1874}
