ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
70	\"false\"	false	true	true	     yes	425	9	85	331743	1	34	34	84	135	135	0	<S:9> = <init>{311} -> [70]<S:9>.isEmpty(){425}
72	\"false\"	false	true	true	     yes	702	6	85	2	1	464	464	84	1662	1662	0	<S:6> = <init>{572} -> [72]<S:6>.equals(\"\"){702}
74	\"true\"	false	true	true	     yes	426	7	85	1	9	146	146	76	746	746	0	<S:7> = <init>{334} -> [74]<S:7>.contains(\"Bb\"){426}
75	\"false\"	false	true	true	     yes	703	5	85	16	1	24	24	84	54	54	0	<S:5> = <init>{655} -> [75]<S:5>.isEmpty(){703}
77	\"false\"	false	true	true	     yes	382	8	85	1	1	49	49	84	83	83	0	<S:8> = <init>{304} -> [77]<S:8>.equals(\"Aa\"){382}
78	\"false\"	false	true	true	     yes	556	12	85	71	1	8	8	84	11	11	0	<S:7> = <init>{334} -> [12]<S:7>.toLowerCase(){213} -> [78]<S:12>.isEmpty(){556}
80	\"false\"	false	false	true	     yes	595	19	85	1	0	67	67	85	80	80	0	<S:7> = <init>{334} -> [19]<S:7>.concat(\"A\"){185} -> [80]<S:19>.equals(\"\"){595}
82	\"true\"	false	true	true	     yes	14575	25	7225	1	1849	6098	6098	5376	6103	6103	0	<S:7> = <init>{334} -> [25]<S:7>.concat(<CS:5>){10680} -> [82]<S:25>.contains(\"aA\"){14575}
83	\"false\"	false	true	true	     yes	21309	13	7225	990	1	1711	1711	7224	3904	3904	0	<S:8> = <init>{304} -> [13]<S:8>.concat(<CS:6>){17145} -> [83]<S:13>.isEmpty(){21309}
85	\"false\"	false	true	true	     yes	745	26	85	2	2	25	25	83	20	20	0	<S:5> = <init>{655} -> [26]<S:5>.toLowerCase(){74} -> [85]<S:26>.equals(\"b\"){745}
87	\"true\"	false	true	false	     yes	760	22	85	11	85	20	20	0	14	14	0	<S:5> = <init>{655} -> [22]<S:5>.toLowerCase(){87} -> [87]<S:22>.contains(\"\"){760}
88	\"false\"	false	true	true	     yes	17762	29	7225	12	1	1545	1545	7224	3979	3979	0	<S:7> = <init>{334} -> [29]<S:7>.concat(<CS:5>){13317} -> [88]<S:29>.isEmpty(){17762}
90	\"false\"	false	true	true	     yes	784	16	85	2	1	18	18	84	19	19	0	<S:5> = <init>{655} -> [16]<S:5>.toLowerCase(){111} -> [90]<S:16>.equals(\"\"){784}
92	\"true\"	false	true	true	     yes	12473	21	7225	1	5625	7807	7807	1600	5039	5039	0	<S:9> = <init>{311} -> [21]<S:9>.concat(<CS:6>){7125} -> [92]<S:21>.contains(\"B\"){12473}
