ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
70	\"false\"	false	true	true	     yes	774	9	85	15	1	2	96	84	12	626	0	<S:9> = <init>{302} -> [70]<S:9>.isEmpty(){774}
72	\"false\"	false	true	true	     yes	858	6	85	9	1	2	60	84	13	4859	0	<S:6> = <init>{334} -> [72]<S:6>.equals(\"\"){858}
74	\"true\"	false	true	true	     yes	6600	7	85	10	9	18	3764	76	39	7092	0	<S:7> = <init>{296} -> [74]<S:7>.contains(\"Bb\"){6600}
75	\"false\"	false	true	true	     yes	2006	5	85	10	1	2	26	84	12	369	0	<S:5> = <init>{1688} -> [75]<S:5>.isEmpty(){2006}
77	\"false\"	false	true	true	     yes	858	8	85	9	1	5	129	84	24	552	0	<S:8> = <init>{302} -> [77]<S:8>.equals(\"Aa\"){858}
78	\"false\"	false	true	true	     yes	1706	12	85	7	1	2	23	84	9	278	0	<S:7> = <init>{296} -> [12]<S:7>.toLowerCase(){1176} -> [78]<S:12>.isEmpty(){1706}
80	\"false\"	false	false	true	     yes	7279	19	85	36	0	6	20493	85	40	776	0	<S:7> = <init>{296} -> [19]<S:7>.concat(\"A\"){6341} -> [80]<S:19>.equals(\"\"){7279}
82	\"true\"	false	true	true	     yes	45349	25	7225	17	1849	217	56281	5376	210	30704	0	<S:7> = <init>{296} -> [25]<S:7>.concat(<CS:5>){4180} -> [82]<S:25>.contains(\"aA\"){45349}
83	\"false\"	false	true	true	     yes	9256	13	7225	9	1	1	23	7224	12	475	0	<S:8> = <init>{302} -> [13]<S:8>.concat(<CS:6>){8525} -> [83]<S:13>.isEmpty(){9256}
85	\"false\"	false	true	true	     yes	2435	26	85	3	2	2	65	83	8	295	0	<S:5> = <init>{1688} -> [26]<S:5>.toLowerCase(){470} -> [85]<S:26>.equals(\"b\"){2435}
87	\"true\"	false	true	false	     yes	2964	22	85	3	85	6	786	0	1	609	0	<S:5> = <init>{1688} -> [22]<S:5>.toLowerCase(){498} -> [87]<S:22>.contains(\"\"){2964}
88	\"false\"	false	true	true	     yes	2288	29	7225	9	1	1	22	7224	12	459	0	<S:7> = <init>{296} -> [29]<S:7>.concat(<CS:5>){1559} -> [88]<S:29>.isEmpty(){2288}
90	\"false\"	false	true	true	     yes	2818	16	85	3	1	1	29	84	6	235	0	<S:5> = <init>{1688} -> [16]<S:5>.toLowerCase(){910} -> [90]<S:16>.equals(\"\"){2818}
92	\"true\"	false	true	true	     yes	171820	21	7225	8	5625	39	338223	1600	14	454561	0	<S:9> = <init>{302} -> [21]<S:9>.concat(<CS:6>){2245} -> [92]<S:21>.contains(\"B\"){171820}
93	\"false\"	false	true	true	     yes	4170	27	7225	8	1	2	43	7224	11	450	0	<S:5> = <init>{1688} -> [27]<S:5>.concat(<CS:7>){1840} -> [93]<S:27>.isEmpty(){4170}
95	\"false\"	false	true	true	     yes	2899	23	7225	8	2	2	66	7223	18	733	0	<S:7> = <init>{296} -> [23]<S:7>.concat(<CS:8>){1826} -> [95]<S:23>.equals(\"b\"){2899}
97	\"false\"	false	false	true	     yes	22000	14	85	3	0	2	1896	85	6	1862	0	<S:6> = <init>{334} -> [14]<S:6>.toLowerCase(){787} -> [97]<S:14>.contains(\"AB\"){22000}
98	\"false\"	false	true	true	     yes	1239	18	85	3	1	7	19	84	5	169	0	<S:9> = <init>{302} -> [18]<S:9>.toLowerCase(){770} -> [98]<S:18>.isEmpty(){1239}
100	\"false\"	false	true	true	     yes	2877	28	85	3	4	3	95	81	9	403	0	<S:8> = <init>{302} -> [28]<S:8>.toLowerCase(){2210} -> [100]<S:28>.equals(\"aa\"){2877}
