ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
174	\"false\"	false	true	true	     yes	2481	7	259	6	1	1	95	258	4	551	0	<S:7> = <init>{2088} -> [174]<S:7>.isEmpty(){2481}
176	\"false\"	false	true	true	     yes	1256	8	259	2	1	6	10263	258	9	648	0	<S:8> = <init>{340} -> [176]<S:8>.equals(\"Aa\"){1256}
178	\"false\"	false	true	true	     yes	5435	11	259	3	103	12	4307	156	167	6042	0	<S:11> = <init>{564} -> [178]<S:11>.contains(\"c\"){5435}
179	\"false\"	false	true	true	     yes	1134	9	259	3	1	3	206	258	6	351	0	<S:9> = <init>{448} -> [179]<S:9>.isEmpty(){1134}
181	\"false\"	false	true	true	     yes	633	10	259	3	1	1	33	258	5	416	0	<S:10> = <init>{239} -> [181]<S:10>.equals(\"\"){633}
182	\"false\"	false	false	true	     yes	1279	43	252	1	0	0	16	252	3	131	0	<S:10> = <init>{239} -> [43]<S:10>.substring(1, 2){915} -> [182]<S:43>.isEmpty(){1279}
184	\"false\"	false	false	true	     yes	2929	23	258	1	0	0	28	258	3	356	0	<S:11> = <init>{564} -> [23]<S:11>.delete(1, 3){2059} -> [184]<S:23>.equals(\"BA\"){2929}
186	\"false\"	false	false	true	     yes	1536	63	216	0	0	1	118	216	2	152	0	<S:8> = <init>{340} -> [63]<S:8>.substring(3, 3){1055} -> [186]<S:63>.contains(\"B\"){1536}
187	\"true\"	false	true	false	     yes	616	52	259	1	259	2	16	0	0	32	0	<S:10> = <init>{239} -> [52]<S:10>.delete(0, 3){363} -> [187]<S:52>.isEmpty(){616}
189	\"false\"	false	false	true	     yes	949	48	252	1	0	0	21	252	2	225	0	<S:8> = <init>{340} -> [48]<S:8>.substring(2, 2){420} -> [189]<S:48>.equals(\"BC\"){949}
191	\"true\"	false	true	false	     yes	3780	41	259	2	259	6	1329	0	1	927	0	<S:7> = <init>{2088} -> [41]<S:7>.toLowerCase(){490} -> [191]<S:41>.contains(\"\"){3780}
192	\"false\"	false	false	true	     yes	1508	67	258	3	0	1	34	258	5	357	0	<S:11> = <init>{564} -> [67]<S:11>.delete(1, 1){628} -> [192]<S:67>.isEmpty(){1508}
194	\"false\"	false	true	true	     yes	7441	39	67081	4	3	2	110	67078	18	3421	0	<S:9> = <init>{448} -> [39]<S:9>.concat(<CS:10>){4972} -> [194]<S:39>.equals(\"CC\"){7441}
196	\"true\"	false	true	false	     yes	31313	20	67081	5	67081	14	27845	0	2	46198	0	<S:9> = <init>{448} -> [20]<S:9>.concat(<CS:7>){5764} -> [196]<S:20>.contains(\"\"){31313}
197	\"false\"	false	true	true	     yes	3153	27	259	343	1	1	27	258	19	313	0	<S:7> = <init>{2088} -> [27]<S:7>.replace('a', 'C'){762} -> [197]<S:27>.isEmpty(){3153}
199	\"false\"	false	true	true	     yes	3416	60	259	2	2	2	117	257	11	8231	0	<S:7> = <init>{2088} -> [60]<S:7>.replace('b', 'A'){738} -> [199]<S:60>.equals(\"Ac\"){3416}
201	\"true\"	false	true	true	     yes	2892	36	259	2	72	5	1602	187	5	1534	0	<S:8> = <init>{340} -> [36]<S:8>.delete(0, 1){942} -> [201]<S:36>.contains(\"A\"){2892}
202	\"false\"	false	true	true	     yes	997	46	259	5	1	0	20	258	4	284	0	<S:8> = <init>{340} -> [46]<S:8>.toLowerCase(){421} -> [202]<S:46>.isEmpty(){997}
204	\"false\"	false	true	true	     yes	3594	69	67081	4	1	1	31	67080	12	2549	0	<S:11> = <init>{564} -> [69]<S:11>.concat(<CS:9>){1643} -> [204]<S:69>.equals(\"\"){3594}
206	\"true\"	false	true	false	     yes	2250	45	259	2	259	6	1279	0	1	885	0	<S:8> = <init>{340} -> [45]<S:8>.replace('B', 'A'){659} -> [206]<S:45>.contains(\"\"){2250}
207	\"false\"	false	false	true	     yes	4215	54	259	14	0	0	17	259	12	538	0	<S:7> = <init>{2088} -> [54]<S:7>.concat(\"c\"){1620} -> [207]<S:54>.isEmpty(){4215}
209	\"false\"	false	false	true	     yes	4479	26	259	11	0	0	24	259	12	675	0	<S:10> = <init>{239} -> [26]<S:10>.concat(\"c\"){3519} -> [209]<S:26>.equals(\"\"){4479}
211	\"false\"	false	false	true	     yes	2850	32	252	11	0	10	478	252	2	462	0	<S:7> = <init>{2088} -> [32]<S:7>.substring(2, 2){485} -> [211]<S:32>.contains(\"B\"){2850}
212	\"false\"	false	true	true	     yes	1347	55	259	2	1	0	19	258	5	304	0	<S:8> = <init>{340} -> [55]<S:8>.replace('c', 'a'){694} -> [212]<S:55>.isEmpty(){1347}
214	\"false\"	false	true	true	     yes	4244	61	259	2	2	3	154	257	27	1194	0	<S:10> = <init>{239} -> [61]<S:10>.toLowerCase(){502} -> [214]<S:61>.equals(\"b\"){4244}
216	\"false\"	false	true	true	     yes	2643	42	252	18	7	2	1397	245	6	1227	0	<S:9> = <init>{448} -> [42]<S:9>.delete(2, 3){940} -> [216]<S:42>.contains(\"BA\"){2643}
