ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
70	\"false\"	false	true	true	     yes	264	9	85	751	1	6	26	84	82	115	0	<S:9> = <init>{202} -> [70]<S:9>.isEmpty(){264}
72	\"false\"	false	true	true	     yes	214	6	85	81	1	5	17	84	81	75	0	<S:6> = <init>{148} -> [72]<S:6>.equals(\"\"){214}
74	\"true\"	false	true	true	     yes	13029	7	85	86	9	73	1312	76	226	592	0	<S:7> = <init>{179} -> [74]<S:7>.contains(\"Bb\"){13029}
75	\"false\"	false	true	true	     yes	2820	5	85	95	1	5	13	84	79	67	0	<S:5> = <init>{2754} -> [75]<S:5>.isEmpty(){2820}
77	\"false\"	false	true	true	     yes	247	8	85	78	1	22	37	84	123	122	0	<S:8> = <init>{147} -> [77]<S:8>.equals(\"Aa\"){247}
78	\"false\"	false	true	true	     yes	1130	12	15	27	1	5	4	14	21	61	0	<S:7> = <init>{179} -> [12]<S:7>.toLowerCase(){889} -> [78]<S:12>.isEmpty(){1130}
80	\"false\"	false	false	true	     yes	1022	19	85	288	0	7	8	85	305	118	0	<S:7> = <init>{179} -> [19]<S:7>.concat(\"A\"){742} -> [80]<S:19>.equals(\"\"){1022}
82	\"true\"	false	true	true	     yes	5494	25	5461	667	1485	2240	7096	3976	9704	722	0	<S:7> = <init>{179} -> [25]<S:7>.concat(<CS:5>){496} -> [82]<S:25>.contains(\"aA\"){5494}
83	\"false\"	false	true	true	     yes	1161	13	5461	59	1	2	8	5460	52	95	0	<S:8> = <init>{147} -> [13]<S:8>.concat(<CS:6>){937} -> [83]<S:13>.isEmpty(){1161}
85	\"false\"	false	true	true	     yes	4312	26	15	9	1	23	6	14	12	78	0	<S:5> = <init>{2754} -> [26]<S:5>.toLowerCase(){1474} -> [85]<S:26>.equals(\"b\"){4312}
87	\"true\"	false	true	false	     yes	7814	22	15	7	15	7	720	0	4	206	0	<S:5> = <init>{2754} -> [22]<S:5>.toLowerCase(){4515} -> [87]<S:22>.contains(\"\"){7814}
88	\"false\"	false	true	true	     yes	1347	29	5461	64	1	2	4	5460	11568	86	0	<S:7> = <init>{179} -> [29]<S:7>.concat(<CS:5>){404} -> [88]<S:29>.isEmpty(){1347}
90	\"false\"	false	true	true	     yes	3691	16	15	23	1	2	6	14	5	61	0	<S:5> = <init>{2754} -> [16]<S:5>.toLowerCase(){880} -> [90]<S:16>.equals(\"\"){3691}
92	\"true\"	false	true	true	     yes	3321	21	5461	57	4368	198	10313	1093	92	535	0	<S:9> = <init>{202} -> [21]<S:9>.concat(<CS:6>){613} -> [92]<S:21>.contains(\"B\"){3321}
