ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
113	\"false\"	false	true	true	     yes	250	8	40	13	1	21	21	39	41	41	0	<S:8> = <init>{217} -> [113]<S:8>.isEmpty(){250}
115	\"false\"	false	true	true	     yes	525	4	40	3	1	890	890	39	2137	2137	0	<S:4> = <init>{305} -> [115]<S:4>.equals(\"C\"){525}
117	\"true\"	false	true	true	     yes	286	7	40	3	25	198	198	15	221	221	0	<S:7> = <init>{228} -> [117]<S:7>.contains(\"A\"){286}
118	\"false\"	false	true	true	     yes	335	5	40	29	1	15	15	39	35	35	0	<S:5> = <init>{240} -> [118]<S:5>.isEmpty(){335}
120	\"false\"	false	true	true	     yes	270	6	40	1	1	35	35	39	52	52	0	<S:6> = <init>{218} -> [120]<S:6>.equals(\"\"){270}
121	\"false\"	false	false	true	     yes	419	24	27	25	0	20	20	27	76	76	0	<S:6> = <init>{218} -> [24]<S:6>.delete(3, 3){141} -> [121]<S:24>.isEmpty(){419}
123	\"false\"	false	false	true	     yes	395	17	40	2	0	32	32	40	56	56	0	<S:8> = <init>{217} -> [17]<S:8>.concat(\"B\"){128} -> [123]<S:17>.equals(\"A\"){395}
125	\"false\"	false	true	true	     yes	588	33	36	1	4	16	16	32	22	22	0	<S:6> = <init>{218} -> [33]<S:6>.delete(2, 3){349} -> [125]<S:33>.contains(\"CB\"){588}
126	\"false\"	false	true	true	     yes	3050	28	1600	9	1	306	306	1599	920	920	0	<S:5> = <init>{240} -> [28]<S:5>.concat(<CS:6>){1897} -> [126]<S:28>.isEmpty(){3050}
128	\"false\"	false	false	true	     yes	379	38	40	1	0	25	25	40	53	53	0	<S:5> = <init>{240} -> [38]<S:5>.concat(\"B\"){85} -> [128]<S:38>.equals(\"A\"){379}
130	\"true\"	false	true	false	     yes	305	39	40	2	40	27	27	0	19	19	0	<S:5> = <init>{240} -> [39]<S:5>.replace('A', 'B'){32} -> [130]<S:39>.contains(\"\"){305}
131	\"false\"	false	false	true	     yes	350	37	39	22	0	12	12	39	36	36	0	<S:5> = <init>{240} -> [37]<S:5>.delete(1, 1){81} -> [131]<S:37>.isEmpty(){350}
133	\"false\"	false	false	true	     yes	452	40	27	1	0	18	18	27	39	39	0	<S:4> = <init>{305} -> [40]<S:4>.delete(3, 3){111} -> [133]<S:40>.equals(\"\"){452}
135	\"false\"	false	true	true	     yes	400	31	40	1	7	41	41	33	64	64	0	<S:7> = <init>{228} -> [31]<S:7>.concat(\"B\"){120} -> [135]<S:31>.contains(\"BC\"){400}
136	\"false\"	false	false	true	     yes	372	30	27	24	0	10	10	27	23	23	0	<S:7> = <init>{228} -> [30]<S:7>.delete(3, 3){124} -> [136]<S:30>.isEmpty(){372}
138	\"false\"	false	false	true	     yes	380	22	40	1	0	13	13	40	23	23	0	<S:4> = <init>{305} -> [22]<S:4>.replace('A', 'C'){47} -> [138]<S:22>.equals(\"CA\"){380}
140	\"true\"	false	true	false	     yes	3624	25	1600	1	1600	1385	1385	0	795	795	0	<S:4> = <init>{305} -> [25]<S:4>.concat(<CS:6>){1883} -> [140]<S:25>.contains(\"\"){3624}
141	\"false\"	false	true	true	     yes	310	29	40	791	1	9	9	39	12	12	0	<S:5> = <init>{240} -> [29]<S:5>.replace('B', 'A'){60} -> [141]<S:29>.isEmpty(){310}
143	\"false\"	false	true	true	     yes	6787	34	1600	2	3	611	611	1597	1191	1191	0	<S:7> = <init>{228} -> [34]<S:7>.concat(<CS:4>){4261} -> [143]<S:34>.equals(\"AC\"){6787}
145	\"true\"	false	true	false	     yes	286	35	40	1	40	26	26	0	19	19	0	<S:7> = <init>{228} -> [35]<S:7>.replace('B', 'A'){35} -> [145]<S:35>.contains(\"\"){286}
146	\"false\"	false	true	true	     yes	7988	13	1600	13	1	306	306	1599	765	765	0	<S:4> = <init>{305} -> [13]<S:4>.concat(<CS:5>){6927} -> [146]<S:13>.isEmpty(){7988}
148	\"false\"	false	true	true	     yes	554	9	40	1	1	18	18	39	25	25	0	<S:4> = <init>{305} -> [9]<S:4>.replace('A', 'B'){232} -> [148]<S:9>.equals(\"\"){554}
150	\"true\"	false	true	true	     yes	815	41	40	1	25	42	42	15	39	39	0	<S:8> = <init>{217} -> [41]<S:8>.concat(\"C\"){560} -> [150]<S:41>.contains(\"A\"){815}
151	\"false\"	false	false	true	     yes	399	44	40	20	0	13	13	40	28	28	0	<S:4> = <init>{305} -> [44]<S:4>.concat(\"C\"){69} -> [151]<S:44>.isEmpty(){399}
153	\"false\"	false	false	true	     yes	376	21	40	1	0	22	22	40	41	41	0	<S:7> = <init>{228} -> [21]<S:7>.concat(\"C\"){109} -> [153]<S:21>.equals(\"BB\"){376}
155	\"false\"	false	true	true	     yes	333	27	36	1	20	29	29	16	12	12	0	<S:8> = <init>{217} -> [27]<S:8>.delete(2, 3){104} -> [155]<S:27>.contains(\"C\"){333}
156	\"false\"	false	false	true	     yes	331	16	39	6	0	3	3	39	5	5	0	<S:6> = <init>{218} -> [16]<S:6>.delete(1, 3){109} -> [156]<S:16>.isEmpty(){331}
158	\"false\"	false	true	true	     yes	510	12	36	1	4	12	12	32	17	17	0	<S:6> = <init>{218} -> [12]<S:6>.delete(2, 3){280} -> [158]<S:12>.equals(\"AA\"){510}
160	\"true\"	false	true	false	     yes	299	43	39	1	39	10	10	0	6	6	0	<S:8> = <init>{217} -> [43]<S:8>.delete(1, 3){69} -> [160]<S:43>.contains(\"\"){299}
161	\"false\"	false	true	true	     yes	324	14	40	9	1	12	12	39	11	11	0	<S:5> = <init>{240} -> [14]<S:5>.replace('B', 'C'){74} -> [161]<S:14>.isEmpty(){324}
163	\"false\"	false	false	true	     yes	362	32	40	1	0	12	12	40	23	23	0	<S:7> = <init>{228} -> [32]<S:7>.replace('A', 'B'){113} -> [163]<S:32>.equals(\"AC\"){362}
165	\"true\"	false	true	true	     yes	282	42	40	1	25	18	18	15	15	15	0	<S:7> = <init>{228} -> [42]<S:7>.replace('B', 'A'){38} -> [165]<S:42>.contains(\"C\"){282}
166	\"false\"	false	true	true	     yes	275	18	40	11	1	7	7	39	10	10	0	<S:8> = <init>{217} -> [18]<S:8>.replace('B', 'C'){45} -> [166]<S:18>.isEmpty(){275}
168	\"false\"	false	true	true	     yes	298	26	40	1	1	20	20	39	22	22	0	<S:6> = <init>{218} -> [26]<S:6>.replace('C', 'A'){59} -> [168]<S:26>.equals(\"\"){298}
170	\"false\"	false	false	true	     yes	321	20	40	3	0	12	12	40	11	11	0	<S:5> = <init>{240} -> [20]<S:5>.delete(0, 2){72} -> [170]<S:20>.contains(\"BC\"){321}
171	\"false\"	false	false	true	     yes	452	68	40	10	0	6	6	40	16	16	0	<S:7> = <init>{228} -> [42]<S:7>.replace('B', 'A'){38} -> [68]<S:42>.concat(\"B\"){173} -> [171]<S:68>.isEmpty(){452}
173	\"false\"	false	false	true	     yes	405	62	40	1	0	12	12	40	23	23	0	<S:4> = <init>{305} -> [22]<S:4>.replace('A', 'C'){47} -> [62]<S:22>.concat(\"C\"){32} -> [173]<S:62>.equals(\"BA\"){405}
175	\"true\"	false	true	false	     yes	653	69	40	1	40	33	33	0	14	14	0	<S:7> = <init>{228} -> [31]<S:7>.concat(\"B\"){120} -> [69]<S:31>.replace('C', 'B'){283} -> [175]<S:69>.contains(\"B\"){653}
176	\"false\"	false	false	true	     yes	681	67	36	23	0	5	5	36	8	8	0	<S:6> = <init>{218} -> [33]<S:6>.delete(2, 3){349} -> [67]<S:33>.delete(2, 2){108} -> [176]<S:67>.isEmpty(){681}
